Nov 27, 2018 12:44:18 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 27, 2018 12:44:18 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 27, 2018 12:44:18 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/juancastillo/Documents/cmpe_172_service_mix/lock
Nov 27, 2018 12:44:18 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 27, 2018 12:44:18 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-11-27 12:44:25,107 | WARN  | pool-1-thread-2  | JaxbUtil                         | 8 - org.apache.karaf.features.core - 4.0.9 | Old style feature file without namespace found (URI: mvn:org.apache.activemq/activemq-karaf/5.14.5/xml/features). This format is deprecated and support for it will soon be removed
2018-11-27 12:44:25,270 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 | Adding features: aries-blueprint/[4.0.9,4.0.9], bundle/[4.0.9,4.0.9], config/[4.0.9,4.0.9], deployer/[4.0.9,4.0.9], diagnostic/[4.0.9,4.0.9], feature/[4.0.9,4.0.9], instance/[4.0.9,4.0.9], jaas/[4.0.9,4.0.9], kar/[4.0.9,4.0.9], log/[4.0.9,4.0.9], management/[4.0.9,4.0.9], package/[4.0.9,4.0.9], service/[4.0.9,4.0.9], shell/[4.0.9,4.0.9], shell-compat/[4.0.9,4.0.9], ssh/[4.0.9,4.0.9], system/[4.0.9,4.0.9], wrap/[0,0.0.0], war/[4.0.9,4.0.9], camel/[2.16.5,2.16.5], camel-blueprint/[2.16.5,2.16.5], camel-jms/[2.16.5,2.16.5], camel-xstream/[2.16.5,2.16.5], camel-cxf/[2.16.5,2.16.5], activemq-camel/[5.14.5,5.14.5], activemq-broker-noweb/[5.14.5,5.14.5], activemq-blueprint/[5.14.5,5.14.5], cxf/[3.1.9,3.1.9], servicemix-messaging/[7.0.1,7.0.1]
2018-11-27 12:44:26,853 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 | Changes to perform:
2018-11-27 12:44:26,856 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |   Region: root
2018-11-27 12:44:26,856 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |     Bundles to install:
2018-11-27 12:44:26,856 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activemq-karaf/5.14.5
2018-11-27 12:44:26,856 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.6.3
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.fasterxml.jackson.core/jackson-core/2.6.3
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.6.3
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.google.guava/guava/18.0
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:io.dropwizard.metrics/metrics-core/3.1.2
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:javax.annotation/javax.annotation-api/1.2
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:javax.mail/mail/1.4.5
2018-11-27 12:44:26,857 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:javax.websocket/javax.websocket-api/1.1
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:jline/jline/2.14.1
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:joda-time/joda-time/2.9.4
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:net.sf.ehcache/ehcache/2.10.3
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activeio-core/3.1.4
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activemq-blueprint/5.14.5
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activemq-camel/5.14.5
2018-11-27 12:44:26,858 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activemq-osgi/5.14.5
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2018-11-27 12:44:26,859 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.0.1
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries.transaction/org.apache.aries.transaction.manager/1.1.1
2018-11-27 12:44:26,860 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.aries/org.apache.aries.util/1.1.1
