2018-11-27 13:12:10,141 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-11-27 13:12:10,143 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-11-27 13:12:42,022 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-11-27 13:12:42,022 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-11-27 13:14:26,236 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-11-27 13:14:26,237 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:09:07,693 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:09:07,696 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:10:52,862 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:10:52,863 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:31,618 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:31,618 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:32,642 | INFO  | //amq-broker#7-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:32,643 | INFO  | //amq-broker#7-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:34,634 | INFO  | //amq-broker#9-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:34,634 | INFO  | //amq-broker#9-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:36,635 | INFO  | /amq-broker#11-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:36,635 | INFO  | /amq-broker#11-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:38,635 | INFO  | /amq-broker#13-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:38,635 | INFO  | /amq-broker#13-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:40,634 | INFO  | /amq-broker#15-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:40,635 | INFO  | /amq-broker#15-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-03 23:39:46,634 | INFO  | /amq-broker#17-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-03 23:39:46,634 | INFO  | /amq-broker#17-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-04 21:55:32,234 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-04 21:55:32,238 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-12-04 23:21:15,462 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-12-04 23:21:15,465 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
